sample_id,group,combination,prediction_png,prediction_sha256,target_png,target_sha256,psnr,ssim,lpips,maniqa,clipiqa,musiq
test/A/rain + haze/027,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/027.png,57560d3626f2ed89af09c1c9a6e8890c68724021abbb694411a0928a6937f59c,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/027.png,d69be3d26f3d3c95ffd9de3bd8d565120e0f09fb4aa84c72ae18d8fc4f871aae,23.928977966308594,0.9070799450219376,0.1557958573102951,0.3004467785358429,0.6413483023643494,67.33590698242188
test/A/rain + haze/028,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/028.png,8a946abd16b68fd1abcfc9c6f5f310191d15b563e4b6fafd5519aa91eb4fd4ed,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/028.png,181f97da79059de1a93d1a0d30f6851393282c6af8b607d83ce29ab8c9dbf771,26.723024368286133,0.9504104651817874,0.11520056426525116,0.4758479595184326,0.7943200469017029,68.16151428222656
test/A/rain + haze/029,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/029.png,11deee9d6539855c5ba0bd4ebfa5023d1b6b96d3b0d9997058d3c7cd4f2d601b,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/029.png,3c7f43d0544ada8d7b64d7bb197621349fa1dcdf8400fb6128afaf8787814556,31.099205017089844,0.8520412231967587,0.0783444344997406,0.3473632037639618,0.4837186932563782,60.59346389770508
test/A/rain + haze/030,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/030.png,567614baad99fc7958108ef45b813c945e0ca5cb8a1e2ff89e3616d4c2c9b576,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/030.png,576b0158cf5a541dd6aaf522902400e8ba3175aacca36d9df22951f52acf3f2f,17.657329559326172,0.8756552228671949,0.23328043520450592,0.5176458954811096,0.7457597255706787,70.6917953491211
test/A/rain + haze/033,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/033.png,91a89e89f830ebdfbe3995bb5a52c88d97fd2b9b0a096510eec9bb3d3457efa5,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/033.png,9590f1419e378254c01f330c248e12e8a62792b04a27b72daf2c0afd6c41c758,24.492877960205078,0.888768380808652,0.08793913573026657,0.429898202419281,0.8404993414878845,63.242374420166016
test/A/rain + haze/034,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/034.png,2c10357bafcf15079e459fc947184d060382675b149303c10242a04802ad63af,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/034.png,0575cc2334f8f50fcbd3d9f58173645db8764f938ee55e8899084ca2b66fd018,24.477930068969727,0.8837423716893706,0.13018178939819336,0.4816651940345764,0.6363112330436707,61.76877212524414
test/A/rain + haze/035,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/035.png,95330e352394c8e887c4a53d52e68621e5b7cde81542f61451f700710ce97ce6,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/035.png,4e230744a9cb7c3ebe976ae7267155312b876fb355283b4938b34b758aef7ff9,28.961164474487305,0.9421596421423009,0.07385282963514328,0.48028743267059326,0.7414292693138123,71.42036437988281
test/A/rain + haze/036,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/036.png,b724c3c5e3395f2ab071439472a1c6093e127aabeb126536a9357e4d78028d05,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/036.png,409fbd0ad51be33e9e2711cb7b22cb39999eaac6e278ca1621c20300be446d76,27.87266731262207,0.8963956689950331,0.06203760206699371,0.3581799566745758,0.6144707798957825,60.69512176513672
test/A/rain + haze/037,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/037.png,d31e7a0c2f36f34cb82b9c8454c27e48970e38e2df5328a1355cd8840318ba42,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/037.png,8f31abe11ce5d5377f131fdc788024ffb8d5cfdda501c06a64ca1fc80fab0d07,27.35765838623047,0.9405267387613163,0.1409936100244522,0.35144224762916565,0.6594833731651306,62.85966873168945
test/A/rain + haze/038,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/038.png,9ad3f675822bc73861522c817f22a11705ea6c5ee5b0d704be18056f7bf4b640,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/038.png,fe7df2186482ca2cc105baed74cb1da9667b3b03e1629055880b6012db131aa1,25.455095291137695,0.9022825461346748,0.1489519625902176,0.30943986773490906,0.4551253914833069,59.32695770263672
